thing,display,co2e,scale,source,url
Clothes bought every 10 minutes in the UK,TRUE,500,Tonnes,Oxfam,https://oxfamapps.org.uk/shop-blog/sustainable-fashion/new-shocking-facts-about-the-impact-of-fast-fashion-on-our-climate/
Energy use of 100 US homes,TRUE,862,Tonnes,EPA,https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator
500 passenger vehicle annual emissions,FALSE,2314,Ktonnes,EPA,https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator
"100,000 barrels of oil burnt",TRUE,43000,Ktonnes,EPA,https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator
CERN carbon footprint 2018,TRUE,200000,Ktonnes,C&EN,https://cen.acs.org/environment/greenhouse-gases/Scientists-CERN-hunt-greener-gases/97/i17
Music streaming emissions 2016,TRUE,275000,Ktonnes,University of Glasgow,https://www.gla.ac.uk/news/archiveofnews/2019/april/headline_643297_en.html
Burundi total emissions 2017,TRUE,529140,Ktonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
UK total coffee consumption,FALSE,1920116,Mtonnes,New Food Magazine,https://www.newfoodmagazine.com/news/22349/coffee-consumption-in-the-uk/
Netherlands total coffee consumption,FALSE,1956802,Mtonnes,New Food Magazine,https://www.newfoodmagazine.com/news/22349/coffee-consumption-in-the-uk/
Burundi total emissions 1751-2017,FALSE,10730000,Mtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Apple Inc carbon footprint 2018,TRUE,25200000,Mtonnes,Apple,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2019.pdf
Amazon Inc carbon footprint 2018,FALSE,44400000,Mtonnes,Amazon,https://sustainability.aboutamazon.com/carbon-footprint
New York City Emissions 2016,FALSE,52000000,Mtonnes,City of New York,https://www1.nyc.gov/assets/sustainability/downloads/pdf/publications/GHG%20Inventory%20Report%20Emission%20Year%202016.pdf
Qatar total emissions 2017,TRUE,129800000,Mtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
World railways carbon emissions 2015,FALSE,259000000,Mtonnes,ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
UK total emissions 2017,TRUE,384700000,Mtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Global aviation emissions 2018,TRUE,918000000,Mtonnes,ICCT,https://theicct.org/publications/co2-emissions-commercial-aviation-2018
Global shipping emissions 2015,TRUE,971000000,Mtonnes,IMO,http://www.imo.org/en/OurWork/Environment/PollutionPrevention/AirPollution/Pages/Greenhouse-Gas-Studies-2014.aspx
Total cement emissions 2017,FALSE,1480000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Qatar total emissions 1751-2017,FALSE,1880000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
How much CO2 humans exhale per year,FALSE,3000000000,Gtonnes,Slate,https://slate.com/news-and-politics/2009/08/are-you-heating-the-planet-when-you-breathe.html
USA total emissions 2017,FALSE,5300000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Total food emissions 2015,FALSE,5570000000,Gtonnes,XCAR,https://exponentialroadmap.org/wp-content/uploads/2018/09/Exponential-Climate-Action-Roadmap-September-2018.pdf
Total energy emissions 2015,FALSE,5900000000,Gtonnes,XCAR,https://exponentialroadmap.org/wp-content/uploads/2018/09/Exponential-Climate-Action-Roadmap-September-2018.pdf
Total agriculture & forestry emissions 2015,FALSE,6576000000,Gtonnes,XCAR,https://exponentialroadmap.org/wp-content/uploads/2018/09/Exponential-Climate-Action-Roadmap-September-2018.pdf
Total gas emissions 2017,FALSE,7210000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Global Wildfires 2019,TRUE,7800000000,Gtonnes,Bloomberg,https://www.bloomberg.com/graphics/2020-fire-emissions/
Total transport emissions 2015,FALSE,8400000000,Gtonnes,XCAR,https://exponentialroadmap.org/wp-content/uploads/2018/09/Exponential-Climate-Action-Roadmap-September-2018.pdf
Total buildings emissions 2015,FALSE,9700000000,Gtonnes,XCAR,https://exponentialroadmap.org/wp-content/uploads/2018/09/Exponential-Climate-Action-Roadmap-September-2018.pdf
China total emissions 2017,FALSE,9800000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Total oil emissions 2017,FALSE,12640000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Total coal emissions 2017,FALSE,14570000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Total industry emissions 2015,FALSE,16900000000,Gtonnes,XCAR,https://exponentialroadmap.org/wp-content/uploads/2018/09/Exponential-Climate-Action-Roadmap-September-2018.pdf
Global emissions 2017,FALSE,53500000000,Gtonnes,IPCC,https://www.ipcc.ch/site/assets/uploads/2018/12/UNEP-1.pdf
UK total emissions 1751-2017,TRUE,77070000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
China total emissions 1751-2017,TRUE,200140000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
EU-28 total emissions 1751-2017,TRUE,352858255784,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
US total emissions 1751-2017,TRUE,399380000000,Gtonnes,OWID,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions
Budget left for 50% chance of 1.5C warming,TRUE,580000000000,Gtonnes,Carbon Brief,https://www.carbonbrief.org/carbon-briefing-making-sense-of-the-ipccs-new-carbon-budget
